"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free","Sample Identification","COC #"
"MWHSample","380-68051-1","380-68051-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","091200","","","100/108 Komo Mai St 10192312307","380-68051-1"
"MWHSample","380-68051-10","380-68051-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","090300","","","Trip Blank","380-68051-1"
"MWHSample","380-68051-2","380-68051-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","094100","","","116/124 Komo Mai St 10192312308","380-68051-1"
"MWHSample","380-68051-3","380-68051-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","101000","","","132/140 Komo Mai St 10192312309","380-68051-1"
"MWHSample","380-68051-4","380-68051-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","090300","","","100 Komo Mai St 10192312301","380-68051-1"
"MWHSample","380-68051-5","380-68051-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","090400","","","108 Komo Mai St 10192312302","380-68051-1"
"MWHSample","380-68051-6","380-68051-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","093500","","","116 Komo Mai St 10192312303","380-68051-1"
"MWHSample","380-68051-7","380-68051-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","093500","","","124 Komo Mai St 10192312304","380-68051-1"
"MWHSample","380-68051-8","380-68051-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","100400","","","132 Komo Mai St 10192312305","380-68051-1"
"MWHSample","380-68051-9","380-68051-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","100400","","","140 Komo Mai St 10192312306","380-68051-1"
