"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free","Sample Identification","COC #"
"MWHSample","380-61228-1","380-61228-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/29/2023","093700","","","PWS 215 Olinda TP Vault C","380-61228-1"
"MWHSample","380-61228-10","380-61228-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/29/2023","101700","","","PWS 215 Olinda Raw Water Tap","380-61228-1"
"MWHSample","380-61228-11","380-61228-1","HI0000215","NA","NA","LABMWH","STATE","GE","RT","N","100","08/29/2023","093700","","","Trip Blank","380-61228-1"
"MWHSample","380-61228-2","380-61228-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/29/2023","104200","","","PWS 215 Olinda Rd SP 36","380-61228-1"
"MWHSample","380-61228-3","380-61228-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/29/2023","110500","","","PWS 215 Olinda Rd SP 29","380-61228-1"
"MWHSample","380-61228-4","380-61228-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/29/2023","112800","","","PWS 215 Olinda Rd SP 3","380-61228-1"
"MWHSample","380-61228-5","380-61228-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/29/2023","114600","","","PWS 215 Makanoe Pl SP 76","380-61228-1"
"MWHSample","380-61228-6","380-61228-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/29/2023","120200","","","PWS 215 Olinda Rd SP 59","380-61228-1"
"MWHSample","380-61228-7","380-61228-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/29/2023","121800","","","PWS 215 Olinda Rd SP 67","380-61228-1"
"MWHSample","380-61228-8","380-61228-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/29/2023","124300","","","PWS 215 Olinda Rd SP 57","380-61228-1"
"MWHSample","380-61228-9","380-61228-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/29/2023","095800","","","PWS 215 Olinda Sediement Basin","380-61228-1"
