"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free","Sample Identification","COC #"
"MWHSample","380-62892-1","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","091300","","","PWS214 Kupuohi St Hyd 406","380-62892-1"
"MWHSample","380-62892-10","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","145500","","","PWS214 81 Kaniau St Flushed","380-62892-1"
"MWHSample","380-62892-11","380-62892-1","","NA","NA","LABMWH","STATE","GE","RT","N","100","09/12/2023","091300","","","Trip Blank","380-62892-1"
"MWHSample","380-62892-2","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","093600","","","PWS214 Keawe St Hyd 362","380-62892-1"
"MWHSample","380-62892-3","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","102500","","","PWS214 Komo Mai St Hyd 444","380-62892-1"
"MWHSample","380-62892-4","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","105300","","","PWS214 Komo Mai St Hyd 446","380-62892-1"
"MWHSample","380-62892-5","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","135800","","","PWS214 92 Aipuni St First Draw","380-62892-1"
"MWHSample","380-62892-6","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","141500","","","PWS214 92 Aipuni St Flushed","380-62892-1"
"MWHSample","380-62892-7","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","131300","","","PWS214 84 Aipuni St First Draw","380-62892-1"
"MWHSample","380-62892-8","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","133400","","","PWS214 84 Aipuni St Flushed","380-62892-1"
"MWHSample","380-62892-9","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","143900","","","PWS214 81 Kaniau St First Draw","380-62892-1"
