"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free"
"MWHSample","380-61459-1","380-61459-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","092000","",""
"MWHSample","380-61459-10","380-61459-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","132200","",""
"MWHSample","380-61459-11","380-61459-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","133700","",""
"MWHSample","380-61459-12","380-61459-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","113300","",""
"MWHSample","380-61459-13","380-61459-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","115700","",""
"MWHSample","380-61459-14","380-61459-1","HI0000215","NA","NA","LABMWH","STATE","GE","RT","N","100","08/31/2023","092000","",""
"MWHSample","380-61459-2","380-61459-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","093800","",""
"MWHSample","380-61459-3","380-61459-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","100500","",""
"MWHSample","380-61459-4","380-61459-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","101300","",""
"MWHSample","380-61459-5","380-61459-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","110900","",""
"MWHSample","380-61459-6","380-61459-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","111500","",""
"MWHSample","380-61459-7","380-61459-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","105200","",""
"MWHSample","380-61459-8","380-61459-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","110000","",""
"MWHSample","380-61459-9","380-61459-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","130200","",""
