"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free"
"MWHSample","380-61458-1","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","091800","",""
"MWHSample","380-61458-10","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","131400","",""
"MWHSample","380-61458-11","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","133100","",""
"MWHSample","380-61458-12","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","134800","",""
"MWHSample","380-61458-13","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","140500","",""
"MWHSample","380-61458-14","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","104100","",""
"MWHSample","380-61458-15","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","104900","",""
"MWHSample","380-61458-16","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","113300","",""
"MWHSample","380-61458-17","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","114100","",""
"MWHSample","380-61458-18","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","122500","",""
"MWHSample","380-61458-19","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","123200","",""
"MWHSample","380-61458-2","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","092600","",""
"MWHSample","380-61458-20","380-61458-1","HI0000215","NA","NA","LABMWH","STATE","GE","RT","N","100","08/31/2023","091800","",""
"MWHSample","380-61458-3","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","095600","",""
"MWHSample","380-61458-4","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","100500","",""
"MWHSample","380-61458-5","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","101900","",""
"MWHSample","380-61458-6","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","102700","",""
"MWHSample","380-61458-7","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","110800","",""
"MWHSample","380-61458-8","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","111500","",""
"MWHSample","380-61458-9","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","125200","",""
