"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free"
"MWHSample","380-61059-1","380-61059-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","101700","",""
"MWHSample","380-61059-10","380-61059-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","114800","",""
"MWHSample","380-61059-11","380-61059-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","095400","",""
"MWHSample","380-61059-12","380-61059-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","100100","",""
"MWHSample","380-61059-13","380-61059-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","08/28/2023","095400","",""
"MWHSample","380-61059-2","380-61059-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","102500","",""
"MWHSample","380-61059-3","380-61059-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","103700","",""
"MWHSample","380-61059-4","380-61059-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","104400","",""
"MWHSample","380-61059-5","380-61059-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","105700","",""
"MWHSample","380-61059-6","380-61059-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","110600","",""
"MWHSample","380-61059-7","380-61059-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","112600","",""
"MWHSample","380-61059-8","380-61059-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","113100","",""
"MWHSample","380-61059-9","380-61059-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","114200","",""
