"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free"
"MWHSample","380-60812-1","380-60812-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","083200","",""
"MWHSample","380-60812-10","380-60812-1","HI0000215","NA","NA","LABMWH","STATE","GE","RT","N","100","08/27/2023","083200","",""
"MWHSample","380-60812-2","380-60812-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","084700","",""
"MWHSample","380-60812-3","380-60812-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","095100","",""
"MWHSample","380-60812-4","380-60812-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","113700","",""
"MWHSample","380-60812-5","380-60812-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","110500","",""
"MWHSample","380-60812-6","380-60812-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","100800","",""
"MWHSample","380-60812-7","380-60812-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","103000","",""
"MWHSample","380-60812-8","380-60812-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","093800","",""
"MWHSample","380-60812-9","380-60812-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","091600","",""
