"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free","Sample Identification","COC #"
"MWHSample","380-60814-1","380-60814-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","103900","","","PWS 215 Kulamanu Cr Hyd 427","380-60814-1"
"MWHSample","380-60814-10","380-60814-1","HI0000215","NA","NA","LABMWH","STATE","GE","RT","N","100","08/27/2023","085000","","","Trip Blank","380-60814-1"
"MWHSample","380-60814-2","380-60814-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","101500","","","PWS 215 Kulamanu Cr Hyd 637","380-60814-1"
"MWHSample","380-60814-3","380-60814-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","105500","","","PWS 215 Anuenue Hyd 414","380-60814-1"
"MWHSample","380-60814-4","380-60814-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","112900","","","PWS 215 Ainakula Rd Hyd 310","380-60814-1"
"MWHSample","380-60814-5","380-60814-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","125200","","","PWS 215 Pulehuiki SP 44","380-60814-1"
"MWHSample","380-60814-6","380-60814-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","121700","","","PWS 215 Kamehameiki Hyd 575","380-60814-1"
"MWHSample","380-60814-7","380-60814-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","131700","","","PWS 215 Kamila St SP 173","380-60814-1"
"MWHSample","380-60814-8","380-60814-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","085000","","","PWS 215 Omaopio Tank","380-60814-1"
"MWHSample","380-60814-9","380-60814-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","093100","","","PWS 215 Upper Kimo Dr 782","380-60814-1"
