"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free","Sample Identification","COC #"
"MWHSample","380-61231-1","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","132000","","","PWS214 Lahaina Police Station","380-61231-1"
"MWHSample","380-61231-10","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","120000","","","PWS214 Kanakea Loop Hyd 210","380-61231-1"
"MWHSample","380-61231-11","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","124500","","","PWS214 Kanakea Loop Hyd 160","380-61231-1"
"MWHSample","380-61231-12","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","122500","","","PWS214 Kahena St Hyd 165","380-61231-1"
"MWHSample","380-61231-13","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","130500","","","PWS214 Lahaina Fire Station","380-61231-1"
"MWHSample","380-61231-14","380-61231-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","08/29/2023","094000","","","Trip Blank","380-61231-1"
"MWHSample","380-61231-2","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","134000","","","PWS214 Lahaina Health Center","380-61231-1"
"MWHSample","380-61231-3","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","104000","","","PWS214 364 Komo Mai St First Draw","380-61231-1"
"MWHSample","380-61231-4","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","105500","","","PWS214 364 Komo Mai St Flushed","380-61231-1"
"MWHSample","380-61231-5","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","094000","","","PWS214 Kupuohi St Hyd 406","380-61231-1"
"MWHSample","380-61231-6","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","100000","","","PWS214 Keawe St Hyd 362","380-61231-1"
"MWHSample","380-61231-7","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","102500","","","PWS214 Komo Mai St Hyd 444","380-61231-1"
"MWHSample","380-61231-8","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","111500","","","PWS214 Komo Mai St Hyd 446","380-61231-1"
"MWHSample","380-61231-9","380-61231-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","114500","","","PWS214 Kanakea Loop Hyd 208","380-61231-1"
