"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free","Sample Identification","COC #"
"MWHSample","380-68050-1","380-68050-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","092600","","","148/156 Komo Mai St 1019231107","380-68050-1"
"MWHSample","380-68050-10","380-68050-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","091800","","","Trip Blank","380-68050-1"
"MWHSample","380-68050-2","380-68050-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","100100","","","300/308 Komo Mai St 1019231108","380-68050-1"
"MWHSample","380-68050-3","380-68050-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","103800","","","316/324 Komo Mai St 1019231109","380-68050-1"
"MWHSample","380-68050-4","380-68050-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","091800","","","148 Komo Mai St 10192311001","380-68050-1"
"MWHSample","380-68050-5","380-68050-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","091800","","","156 Komo Mai St 10192311002","380-68050-1"
"MWHSample","380-68050-6","380-68050-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","095700","","","300 Komo Mai St 10192311003","380-68050-1"
"MWHSample","380-68050-7","380-68050-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","095600","","","308 Komo Mai St 10192311004","380-68050-1"
"MWHSample","380-68050-8","380-68050-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","103300","","","316 Komo Mai St 10192311005","380-68050-1"
"MWHSample","380-68050-9","380-68050-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","10/19/2023","103100","","","324 Komo Mai St 10192311006","380-68050-1"
