"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free"
"MWHSample","380-60809-1","380-60809-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","083300","",""
"MWHSample","380-60809-10","380-60809-1","HI0000215","NA","NA","LABMWH","STATE","GE","RT","N","100","08/27/2023","083300","",""
"MWHSample","380-60809-2","380-60809-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","085200","",""
"MWHSample","380-60809-3","380-60809-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","091400","",""
"MWHSample","380-60809-4","380-60809-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","093600","",""
"MWHSample","380-60809-5","380-60809-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","100000","",""
"MWHSample","380-60809-6","380-60809-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","102300","",""
"MWHSample","380-60809-7","380-60809-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","110600","",""
"MWHSample","380-60809-8","380-60809-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","112500","",""
"MWHSample","380-60809-9","380-60809-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","114300","",""
