"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free"
"MWHSample","380-61067-1","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","091800","",""
"MWHSample","380-61067-10","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","112800","",""
"MWHSample","380-61067-11","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","114200","",""
"MWHSample","380-61067-12","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","115800","",""
"MWHSample","380-61067-13","380-61067-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","08/28/2023","091800","",""
"MWHSample","380-61067-2","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","093800","",""
"MWHSample","380-61067-3","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","094900","",""
"MWHSample","380-61067-4","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","100200","",""
"MWHSample","380-61067-5","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","102400","",""
"MWHSample","380-61067-6","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","103900","",""
"MWHSample","380-61067-7","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","105400","",""
"MWHSample","380-61067-8","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","110800","",""
"MWHSample","380-61067-9","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","111600","",""
