"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free"
"MWHSample","380-61457-1","380-61457-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","090700","",""
"MWHSample","380-61457-10","380-61457-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","110600","",""
"MWHSample","380-61457-11","380-61457-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","094600","",""
"MWHSample","380-61457-12","380-61457-1","HI0000215","NA","NA","LABMWH","STATE","GE","RT","N","100","08/31/2023","090700","",""
"MWHSample","380-61457-2","380-61457-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","091600","",""
"MWHSample","380-61457-3","380-61457-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","102000","",""
"MWHSample","380-61457-4","380-61457-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","103400","",""
"MWHSample","380-61457-5","380-61457-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","100500","",""
"MWHSample","380-61457-6","380-61457-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","101100","",""
"MWHSample","380-61457-7","380-61457-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","092400","",""
"MWHSample","380-61457-8","380-61457-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","093100","",""
"MWHSample","380-61457-9","380-61457-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","104900","",""
