"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free"
"MWHSample","380-61223-1","380-61223-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","100000","",""
"MWHSample","380-61223-10","380-61223-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","120300","",""
"MWHSample","380-61223-11","380-61223-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","103700","",""
"MWHSample","380-61223-12","380-61223-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","122200","",""
"MWHSample","380-61223-13","380-61223-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","123600","",""
"MWHSample","380-61223-14","380-61223-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","130300","",""
"MWHSample","380-61223-15","380-61223-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","08/29/2023","094000","",""
"MWHSample","380-61223-2","380-61223-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","094000","",""
"MWHSample","380-61223-3","380-61223-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","100500","",""
"MWHSample","380-61223-4","380-61223-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","094300","",""
"MWHSample","380-61223-5","380-61223-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","102000","",""
"MWHSample","380-61223-6","380-61223-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","105500","",""
"MWHSample","380-61223-7","380-61223-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","111300","",""
"MWHSample","380-61223-8","380-61223-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","113000","",""
"MWHSample","380-61223-9","380-61223-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/29/2023","115000","",""
