"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free"
"MWHSample","380-62892-1","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","091300","",""
"MWHSample","380-62892-10","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","145500","",""
"MWHSample","380-62892-11","380-62892-1","","NA","NA","LABMWH","STATE","GE","RT","N","100","09/12/2023","091300","",""
"MWHSample","380-62892-2","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","093600","",""
"MWHSample","380-62892-3","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","102500","",""
"MWHSample","380-62892-4","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","105300","",""
"MWHSample","380-62892-5","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","135800","",""
"MWHSample","380-62892-6","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","141500","",""
"MWHSample","380-62892-7","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","131300","",""
"MWHSample","380-62892-8","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","133400","",""
"MWHSample","380-62892-9","380-62892-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","09/12/2023","143900","",""
