"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free","Sample Identification","COC #"
"MWHSample","380-61067-1","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","091800","","","PWS214 Nahienaena Bldg E Hosebib #1 First Draw","380-61067-1"
"MWHSample","380-61067-10","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","112800","","","PWS214 Nahienaena P3 Hosebib #1 After Flush","380-61067-1"
"MWHSample","380-61067-11","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","114200","","","PWS214 Nahienaena P12 Hosebib First Draw","380-61067-1"
"MWHSample","380-61067-12","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","115800","","","PWS214 Nahienaena P12 Hosebib After Flush","380-61067-1"
"MWHSample","380-61067-13","380-61067-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","08/28/2023","091800","","","Trip Blank","380-61067-1"
"MWHSample","380-61067-2","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","093800","","","PWS214 Nahienaena Bldg E Hosebib #1 After Flush","380-61067-1"
"MWHSample","380-61067-3","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","094900","","","PWS214 Nahienaena Bldg E Hosebib #2 First Draw","380-61067-1"
"MWHSample","380-61067-4","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","100200","","","PWS214 Nahienaena Bldg E Hosebib #2 After Flush","380-61067-1"
"MWHSample","380-61067-5","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","102400","","","PWS214 Nahienaena P1 Hosebib First Draw","380-61067-1"
"MWHSample","380-61067-6","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","103900","","","PWS214 Nahienaena P1 Hosebib After Flush","380-61067-1"
"MWHSample","380-61067-7","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","105400","","","PWS214 Nahienaena P8 Hosebib #1 First Draw","380-61067-1"
"MWHSample","380-61067-8","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","110800","","","PWS214 Nahienaena P8 Hosebib #1 After Flush","380-61067-1"
"MWHSample","380-61067-9","380-61067-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/28/2023","111600","","","PWS214 Nahienaena P3 Hosebib #1 First Draw","380-61067-1"
