"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free","Sample Identification","COC #"
"MWHSample","380-61458-1","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","091800","","","PWS215 196 Kulalani Pl First Draw","380-61458-1"
"MWHSample","380-61458-10","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","131400","","","PWS215 Kulalani Dr SP 54","380-61458-1"
"MWHSample","380-61458-11","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","133100","","","PWS215 Kulalani Dr SP 57","380-61458-1"
"MWHSample","380-61458-12","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","134800","","","PWS215 Kulalani Dr Hyd 379","380-61458-1"
"MWHSample","380-61458-13","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","140500","","","PWS215 Kulalani Dr Hyd 415","380-61458-1"
"MWHSample","380-61458-14","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","104100","","","PWS215 344 Kulalani Pl First Draw","380-61458-1"
"MWHSample","380-61458-15","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","104900","","","PWS215 344 Kulalani Pl Flushed","380-61458-1"
"MWHSample","380-61458-16","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","113300","","","PWS215 391 Kulalani Pl First Draw","380-61458-1"
"MWHSample","380-61458-17","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","114100","","","PWS215 391 Kulalani Pl Flushed","380-61458-1"
"MWHSample","380-61458-18","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","122500","","","PWS215 367 Kulalani Pl First Draw","380-61458-1"
"MWHSample","380-61458-19","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","123200","","","PWS215 367 Kulalani Pl Flushed","380-61458-1"
"MWHSample","380-61458-2","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","092600","","","PWS215 196 Kulalani Pl Flushed","380-61458-1"
"MWHSample","380-61458-20","380-61458-1","HI0000215","NA","NA","LABMWH","STATE","GE","RT","N","100","08/31/2023","091800","","","Trip Blank","380-61458-1"
"MWHSample","380-61458-3","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","095600","","","PWS215 214 Kulalani Pl First Draw","380-61458-1"
"MWHSample","380-61458-4","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","100500","","","PWS215 214 Kulalani Pl Flushed","380-61458-1"
"MWHSample","380-61458-5","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","101900","","","PWS215 234 Kulalani Pl First Draw","380-61458-1"
"MWHSample","380-61458-6","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","102700","","","PWS215 234 Kulalani Pl Flushed","380-61458-1"
"MWHSample","380-61458-7","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","110800","","","PWS215 346 Kulalani Pl First Draw","380-61458-1"
"MWHSample","380-61458-8","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","111500","","","PWS215 346 Kulalani Pl Flushed","380-61458-1"
"MWHSample","380-61458-9","380-61458-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/31/2023","125200","","","PWS215 Kulalani Dr SP 56","380-61458-1"
