"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free","Sample Identification","COC #"
"MWHSample","380-61366-1","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","102600","","","PWS214 Niheu St Hyd 277","380-61366-1"
"MWHSample","380-61366-10","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","125200","","","PWS214 S Hakau Pl Hyd 256","380-61366-1"
"MWHSample","380-61366-11","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","011200","","","PWS214 Kumukahi St Hyd 268","380-61366-1"
"MWHSample","380-61366-12","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","012800","","","PWS214 Hookahua Pl Hyd 344","380-61366-1"
"MWHSample","380-61366-13","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","014500","","","PWS214 Hookahua Pl Hyd 343","380-61366-1"
"MWHSample","380-61366-14","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","005000","","","PWS214 Lahaina Treatment Plant Vault C","380-61366-1"
"MWHSample","380-61366-15","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","092800","","","PWS214 Waipuka Tank","380-61366-1"
"MWHSample","380-61366-16","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","095700","","","PWS214 Kanaha Tank","380-61366-1"
"MWHSample","380-61366-17","380-61366-1","HI0000214","NA","NA","LABMWH","STATE","GE","RT","N","100","08/21/2023","011200","","","Trip Blank","380-61366-1"
"MWHSample","380-61366-2","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","104500","","","PWS214 Niheu St Hyd 280","380-61366-1"
"MWHSample","380-61366-3","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","105800","","","PWS214 Laalo St Hyd 273","380-61366-1"
"MWHSample","380-61366-4","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","111100","","","PWS214 Laalo Pl Hyd 276","380-61366-1"
"MWHSample","380-61366-5","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","113200","","","PWS214 Kuialua Pl Hyd 272","380-61366-1"
"MWHSample","380-61366-6","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","115300","","","PWS214 Hopoe St Hyd 263","380-61366-1"
"MWHSample","380-61366-7","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","120800","","","PWS214 Hopoe Pl  Hyd 266","380-61366-1"
"MWHSample","380-61366-8","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","022400","","","PWS214 Hokeo St Hyd 259","380-61366-1"
"MWHSample","380-61366-9","380-61366-1","HI0000214","TP050","021","LABMWH","STATE","GE","RT","N","100","08/30/2023","123900","","","PWS214 N Hakau Pl hyd 258","380-61366-1"
