"Sample Indicator","Lab Sample No","Report No","PWS ID","Fac ID","Samp Pt No","Lab ID","Cert Agency","Samp Category","Samp Type","Compliance","Samp Vol","Collect Date","Collect Time","Sampler Name","Chlorine Free","Sample Identification","COC #"
"MWHSample","380-60812-1","380-60812-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","083200","","","PWS 215 Kaui Pl SP 174","380-60812-1"
"MWHSample","380-60812-10","380-60812-1","HI0000215","NA","NA","LABMWH","STATE","GE","RT","N","100","08/27/2023","083200","","","Trip Blank","380-60812-1"
"MWHSample","380-60812-2","380-60812-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","084700","","","PWS 215 Upu Pl Hyd 336","380-60812-1"
"MWHSample","380-60812-3","380-60812-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","095100","","","PWS 215 Kula Hwy Hyd 585","380-60812-1"
"MWHSample","380-60812-4","380-60812-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","113700","","","PWS 215 Ulupalakua SP 1","380-60812-1"
"MWHSample","380-60812-5","380-60812-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","110500","","","PWS 215 Kanaio Tank","380-60812-1"
"MWHSample","380-60812-6","380-60812-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","100800","","","PWS 215 Kula Hwy Hyd 597","380-60812-1"
"MWHSample","380-60812-7","380-60812-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","103000","","","PWS 215 Kula Hwy Hyd 595","380-60812-1"
"MWHSample","380-60812-8","380-60812-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","093800","","","PWS 215 Lepelepe Pl SP 314","380-60812-1"
"MWHSample","380-60812-9","380-60812-1","HI0000215","TP003","001","LABMWH","STATE","GE","RT","N","100","08/27/2023","091600","","","PWS 215 Naalae Rd SP 285","380-60812-1"
