"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte","Sample Identification","COC #"
"MWHResult","380-68652-1","HI0000214","","10/28/2023","070500","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene","Mahinahina WTP Vault C","380-68652-1"
"MWHResult","380-68652-1","HI0000214","","10/28/2023","070500","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene","Mahinahina WTP Vault C","380-68652-1"
"MWHResult","380-68652-1","HI0000214","","10/28/2023","070500","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane","Mahinahina WTP Vault C","380-68652-1"
"MWHResult","380-68652-1","HI0000214","","10/28/2023","070500","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total","Mahinahina WTP Vault C","380-68652-1"
"MWHResult","380-68652-1","HI0000214","","10/28/2023","070500","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes","Mahinahina WTP Vault C","380-68652-1"
"MWHResult","380-68652-1","HI0000214","","10/28/2023","070500","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Dichloromethane","Mahinahina WTP Vault C","380-68652-1"
"MWHResult","380-68652-1","HI0000214","","10/28/2023","070500","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene","Mahinahina WTP Vault C","380-68652-1"
"MWHResult","380-68652-1","HI0000214","","10/28/2023","070500","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene","Mahinahina WTP Vault C","380-68652-1"
"MWHResult","380-68652-1","HI0000214","","10/28/2023","070500","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)","Mahinahina WTP Vault C","380-68652-1"
"MWHResult","380-68652-1","HI0000214","","10/28/2023","070500","2977","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1-Dichloroethene","Mahinahina WTP Vault C","380-68652-1"
"MWHResult","380-68652-1","HI0000214","","10/28/2023","070500","2979","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","trans-1,2-Dichloroethylene","Mahinahina WTP Vault C","380-68652-1"
"MWHResult","380-68652-1","HI0000214","","10/28/2023","070500","2980","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloroethane","Mahinahina WTP Vault C","380-68652-1"
"MWHResult","380-68652-1","HI0000214","","10/28/2023","070500","2981","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,1-Trichloroethane","Mahinahina WTP Vault C","380-68652-1"
"MWHResult","380-68652-1","HI0000214","","10/28/2023","070500","2982","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Carbon tetrachloride","Mahinahina WTP Vault C","380-68652-1"
