"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte","Sample Identification","COC #"
"MWHResult","380-75772-1","HI0000214","12/21/2023","12/21/2023","191400","2010","525.2","LABMWH","STATE","A","MRL","0.039","UG/L","Y","","Lindane","1003/1007 Front St (12152311713)","380-75772-1"
"MWHResult","380-75772-1","HI0000214","12/21/2023","12/21/2023","191400","2015","525.2","LABMWH","STATE","A","MRL","0.098","UG/L","Y","","Methoxychlor","1003/1007 Front St (12152311713)","380-75772-1"
"MWHResult","380-75772-1","HI0000214","12/21/2023","12/21/2023","191400","2035","525.2","LABMWH","STATE","A","MRL","0.59","UG/L","Y","","Di(2-ethylhexyl)adipate","1003/1007 Front St (12152311713)","380-75772-1"
"MWHResult","380-75772-1","HI0000214","12/21/2023","12/21/2023","191400","2037","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Simazine","1003/1007 Front St (12152311713)","380-75772-1"
"MWHResult","380-75772-1","HI0000214","12/21/2023","12/21/2023","191400","2039","525.2","LABMWH","STATE","A","MRL","0.59","UG/L","Y","","Bis(2-ethylhexyl) phthalate","1003/1007 Front St (12152311713)","380-75772-1"
"MWHResult","380-75772-1","HI0000214","12/21/2023","12/21/2023","191400","2042","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Hexachlorocyclopentadiene","1003/1007 Front St (12152311713)","380-75772-1"
"MWHResult","380-75772-1","HI0000214","12/21/2023","12/21/2023","191400","2050","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Atrazine","1003/1007 Front St (12152311713)","380-75772-1"
"MWHResult","380-75772-1","HI0000214","12/21/2023","12/21/2023","191400","2051","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Alachlor","1003/1007 Front St (12152311713)","380-75772-1"
"MWHResult","380-75772-1","HI0000214","12/21/2023","12/21/2023","191400","2065","525.2","LABMWH","STATE","A","MRL","0.039","UG/L","Y","","Heptachlor","1003/1007 Front St (12152311713)","380-75772-1"
"MWHResult","380-75772-1","HI0000214","12/21/2023","12/21/2023","191400","2067","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Heptachlor epoxide (isomer B)","1003/1007 Front St (12152311713)","380-75772-1"
"MWHResult","380-75772-1","HI0000214","12/21/2023","12/21/2023","191400","2274","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Hexachlorobenzene","1003/1007 Front St (12152311713)","380-75772-1"
"MWHResult","380-75772-1","HI0000214","12/21/2023","12/21/2023","191400","2306","525.2","LABMWH","STATE","A","MRL","0.020","UG/L","Y","","Benzo[a]pyrene","1003/1007 Front St (12152311713)","380-75772-1"
"MWHResult","380-75772-2","HI0000214","12/21/2023","12/21/2023","193400","2010","525.2","LABMWH","STATE","A","MRL","0.039","UG/L","Y","","Lindane","1057/1065 Front (12152311714)","380-75772-1"
"MWHResult","380-75772-2","HI0000214","12/21/2023","12/21/2023","193400","2015","525.2","LABMWH","STATE","A","MRL","0.098","UG/L","Y","","Methoxychlor","1057/1065 Front (12152311714)","380-75772-1"
"MWHResult","380-75772-2","HI0000214","12/21/2023","12/21/2023","193400","2035","525.2","LABMWH","STATE","A","MRL","0.59","UG/L","Y","","Di(2-ethylhexyl)adipate","1057/1065 Front (12152311714)","380-75772-1"
"MWHResult","380-75772-2","HI0000214","12/21/2023","12/21/2023","193400","2037","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Simazine","1057/1065 Front (12152311714)","380-75772-1"
"MWHResult","380-75772-2","HI0000214","12/21/2023","12/21/2023","193400","2039","525.2","LABMWH","STATE","A","MRL","0.59","UG/L","Y","","Bis(2-ethylhexyl) phthalate","1057/1065 Front (12152311714)","380-75772-1"
"MWHResult","380-75772-2","HI0000214","12/21/2023","12/21/2023","193400","2042","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Hexachlorocyclopentadiene","1057/1065 Front (12152311714)","380-75772-1"
"MWHResult","380-75772-2","HI0000214","12/21/2023","12/21/2023","193400","2050","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Atrazine","1057/1065 Front (12152311714)","380-75772-1"
"MWHResult","380-75772-2","HI0000214","12/21/2023","12/21/2023","193400","2051","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Alachlor","1057/1065 Front (12152311714)","380-75772-1"
"MWHResult","380-75772-2","HI0000214","12/21/2023","12/21/2023","193400","2065","525.2","LABMWH","STATE","A","MRL","0.039","UG/L","Y","","Heptachlor","1057/1065 Front (12152311714)","380-75772-1"
"MWHResult","380-75772-2","HI0000214","12/21/2023","12/21/2023","193400","2067","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Heptachlor epoxide (isomer B)","1057/1065 Front (12152311714)","380-75772-1"
"MWHResult","380-75772-2","HI0000214","12/21/2023","12/21/2023","193400","2274","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Hexachlorobenzene","1057/1065 Front (12152311714)","380-75772-1"
"MWHResult","380-75772-2","HI0000214","12/21/2023","12/21/2023","193400","2306","525.2","LABMWH","STATE","A","MRL","0.020","UG/L","Y","","Benzo[a]pyrene","1057/1065 Front (12152311714)","380-75772-1"
