"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte","Sample Identification","COC #"
"MWHResult","380-64656-1","HI0000215","09/29/2023","09/30/2023","150700","2010","525.2","LABMWH","STATE","A","MRL","0.039","UG/L","Y","","Lindane","PWS 215 Upper Kimo Dr Hyd 790 09262310301","380-64656-1"
"MWHResult","380-64656-1","HI0000215","09/29/2023","09/30/2023","150700","2015","525.2","LABMWH","STATE","A","MRL","0.098","UG/L","Y","","Methoxychlor","PWS 215 Upper Kimo Dr Hyd 790 09262310301","380-64656-1"
"MWHResult","380-64656-1","HI0000215","09/29/2023","09/30/2023","150700","2035","525.2","LABMWH","STATE","A","MRL","0.59","UG/L","Y","","Di(2-ethylhexyl)adipate","PWS 215 Upper Kimo Dr Hyd 790 09262310301","380-64656-1"
"MWHResult","380-64656-1","HI0000215","09/29/2023","09/30/2023","150700","2037","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Simazine","PWS 215 Upper Kimo Dr Hyd 790 09262310301","380-64656-1"
"MWHResult","380-64656-1","HI0000215","09/29/2023","09/30/2023","150700","2039","525.2","LABMWH","STATE","A","MRL","0.59","UG/L","Y","","Bis(2-ethylhexyl) phthalate","PWS 215 Upper Kimo Dr Hyd 790 09262310301","380-64656-1"
"MWHResult","380-64656-1","HI0000215","09/29/2023","09/30/2023","150700","2042","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Hexachlorocyclopentadiene","PWS 215 Upper Kimo Dr Hyd 790 09262310301","380-64656-1"
"MWHResult","380-64656-1","HI0000215","09/29/2023","09/30/2023","150700","2050","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Atrazine","PWS 215 Upper Kimo Dr Hyd 790 09262310301","380-64656-1"
"MWHResult","380-64656-1","HI0000215","09/29/2023","09/30/2023","150700","2051","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Alachlor","PWS 215 Upper Kimo Dr Hyd 790 09262310301","380-64656-1"
"MWHResult","380-64656-1","HI0000215","09/29/2023","09/30/2023","150700","2065","525.2","LABMWH","STATE","A","MRL","0.039","UG/L","Y","","Heptachlor","PWS 215 Upper Kimo Dr Hyd 790 09262310301","380-64656-1"
"MWHResult","380-64656-1","HI0000215","09/29/2023","09/30/2023","150700","2067","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Heptachlor epoxide (isomer B)","PWS 215 Upper Kimo Dr Hyd 790 09262310301","380-64656-1"
"MWHResult","380-64656-1","HI0000215","09/29/2023","09/30/2023","150700","2274","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Hexachlorobenzene","PWS 215 Upper Kimo Dr Hyd 790 09262310301","380-64656-1"
"MWHResult","380-64656-1","HI0000215","09/29/2023","09/30/2023","150700","2306","525.2","LABMWH","STATE","A","MRL","0.020","UG/L","Y","","Benzo[a]pyrene","PWS 215 Upper Kimo Dr Hyd 790 09262310301","380-64656-1"
"MWHResult","380-64656-2","HI0000215","","09/29/2023","164604","1005","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","Arsenic","PWS 215 Upper Kimo Dr Hyd 796 09262310302","380-64656-1"
"MWHResult","380-64656-2","HI0000215","","09/29/2023","164604","1010","200.8","LABMWH","STATE","A","MRL","2.0","UG/L","Y","","BARIUM","PWS 215 Upper Kimo Dr Hyd 796 09262310302","380-64656-1"
"MWHResult","380-64656-2","HI0000215","","09/29/2023","164604","1015","200.8","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","CADMIUM","PWS 215 Upper Kimo Dr Hyd 796 09262310302","380-64656-1"
