"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte","Sample Identification","COC #"
"MWHResult","380-63127-1","HI0000215","","09/23/2023","152700","1005","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","Arsenic","PWS 215 Nunu Pl Hyd 639","380-63127-1"
"MWHResult","380-63127-1","HI0000215","","09/23/2023","152700","1010","200.8","LABMWH","STATE","A","MRL","2.0","UG/L","N","3.2","BARIUM","PWS 215 Nunu Pl Hyd 639","380-63127-1"
"MWHResult","380-63127-1","HI0000215","","09/23/2023","152700","1015","200.8","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","CADMIUM","PWS 215 Nunu Pl Hyd 639","380-63127-1"
"MWHResult","380-63127-1","HI0000215","","09/23/2023","152700","1020","200.8","LABMWH","STATE","A","MRL","0.90","UG/L","Y","","CHROMIUM","PWS 215 Nunu Pl Hyd 639","380-63127-1"
"MWHResult","380-63127-1","HI0000215","","09/23/2023","152700","1022","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","N","2.6","COPPER","PWS 215 Nunu Pl Hyd 639","380-63127-1"
"MWHResult","380-63127-1","HI0000215","","09/23/2023","152700","1030","200.8","LABMWH","STATE","A","MRL","0.50","UG/L","N","1.3","LEAD","PWS 215 Nunu Pl Hyd 639","380-63127-1"
"MWHResult","380-63127-1","HI0000215","","09/23/2023","152700","1045","200.8","LABMWH","STATE","A","MRL","2.0","UG/L","Y","","SELENIUM","PWS 215 Nunu Pl Hyd 639","380-63127-1"
"MWHResult","380-63127-1","HI0000215","","09/23/2023","152700","1074","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","ANTIMONY","PWS 215 Nunu Pl Hyd 639","380-63127-1"
"MWHResult","380-63127-1","HI0000215","","09/23/2023","152700","1075","200.8","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","BERYLLIUM","PWS 215 Nunu Pl Hyd 639","380-63127-1"
"MWHResult","380-63127-1","HI0000215","","09/23/2023","152700","1085","200.8","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","THALLIUM","PWS 215 Nunu Pl Hyd 639","380-63127-1"
"MWHResult","380-63127-1","HI0000215","09/23/2023","09/23/2023","235734","1035","245.1","LABMWH","STATE","A","MRL","0.10","UG/L","Y","","Mercury","PWS 215 Nunu Pl Hyd 639","380-63127-1"
